year,month,day
19,1,3
6,9,3
19,8,6
6,12,6
5,12,7
9,9,9
10,3,12
5,6,12
12,2,16
10,5,16
9,10,16
9,11,17
20,12,17
20,9,18
20,12,18
8,4,19
6,8,19
5,1,21
8,9,21
8,9,22
6,6,24
8,9,24
20,5,25
7,1,27
5,12,27
5,4,28
19,10,28
7,1,29
7,7,29
19,8,29
11,11,30
5,8,31
